,index,rsq_adj,slope_val,int_pval,log_slope_pval,log_int_pval,int_val,log_slope_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,rsq,subj_id,sub_id
0,wfpt,-7.853507018262817e-06,0.0022998132207050596,0.0,0.6424166460517338,0.0,0.5667282457928967,0.0019730017497347633,0.5315841731829356,1.2575698342274584,-1.0121690710906961e-05,2.781998696632648e-06,5.04998662032019e-06,0,s291
0,wfpt,1.9752125545724475e-05,0.006286990117933094,0.0,0.13675227374821233,0.0,0.4344404839118923,0.005954231033282846,0.1016868328842592,1.2255291316101538,1.4284320353108448e-05,2.604899659253146e-05,3.151673745727113e-05,0,s294
0,wfpt,-9.904963416129675e-06,-0.00132703724355071,0.0,0.7782507329001407,0.0,0.555140364917836,-0.001125726792743826,0.6909162376222473,1.2638056474801058,-1.0832024746942892e-05,9.32946982445948e-07,1.859997406428171e-06,0,s295
0,wfpt,1.3385529168408183e-06,-0.004218809606659234,0.0,0.29112238799691986,0.0,0.372764408605014,-0.004478089660674811,0.29126564089432916,1.2203389609203337,1.346336319985042e-06,1.3111164772761086e-05,1.3103381461210262e-05,0,s301
0,wfpt,1.944010120114026e-05,0.0064533201477415085,0.0,0.14449489656643777,0.0,0.4043406360766874,0.006184056331469996,0.10339601137837659,1.2168636080624506,1.3287800626704538e-05,2.5052488589971666e-05,3.120471678352832e-05,0,s305
0,wfpt,-4.969114373976069e-06,0.002673111586545023,0.0,0.45814683487024954,0.0,0.39293884302596804,0.0025885950655956114,0.44724397294874463,1.2187393819016459,-5.2892278303851015e-06,6.475678688833142e-06,6.79578837914363e-06,0,s307
0,wfpt,-1.0529056834185369e-05,-0.0013042890047604825,0.0,0.642708133818582,0.0,0.5982221583451155,-0.001980295661614565,0.7397870826797309,1.278371202273162,-9.287541287150702e-06,2.547028205124313e-06,1.3055273508921772e-06,0,s313
0,wfpt,1.2678050381520478e-05,0.005246342878663508,0.0,0.14344341722082335,0.0,0.554026097847035,0.0057165441180066015,0.1513511302065325,1.257242021446371,1.3660641790758099e-05,2.5636669520046063e-05,2.465408987850637e-05,0,s314
0,wfpt,-1.1541185154007039e-05,0.0005071066657660857,0.0,0.8820252966402482,0.0,0.6767275195573363,0.0004459363657346089,0.8748852110211879,1.2999053578238504,-1.1573958834665277e-05,2.6063771607631736e-07,2.934110089336528e-07,0,s326
0,wfpt,-1.092677943237419e-05,0.0009543122946951369,0.0,0.6966634635606437,0.0,0.4655057282603546,0.0014491701243721372,0.7895335150286734,1.2399508405295128,-9.977073527123181e-06,1.7878881437560779e-06,8.381934116785672e-07,0,s328
0,wfpt,-1.100709048063031e-05,0.0010041781282900926,0.0,0.6072252517297303,0.0,0.3268339285682323,0.002151147268449796,0.7996443339151562,1.198714704726346,-8.656208733359705e-06,3.108737397838901e-06,7.578833083332626e-07,0,s329
0,wfpt,-1.0840626409214238e-05,0.0011115254874766865,0.0,0.7940252514192905,0.0,0.4481358312903678,0.0010246036429715985,0.7792487243315902,1.2348167180710217,-1.0962990788065952e-05,8.01982482090402e-07,9.243454213159197e-07,0,s334
0,wfpt,-1.0318519233054602e-05,-0.0013282961471283402,0.0,0.5677963151557934,0.0,0.528851860124272,-0.002302531918083598,0.7150728103708823,1.2495779096644948,-8.019371155132404e-06,3.88562794439995e-06,1.5865072378051792e-06,0,s336
